idx; time; symbol; price; 52wh; 52wchp; 200da; dd52; trend; volume; shortName; longName
13; 2026.02.06_14:35:49; XB4A.DE; 115,52; 117,42; 50,68; 97,05; -01,62; 1,19; 1613; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.06_14:37:23; XESP.DE; 56,95; 58,23; 45,96; 48,25; -02,20; 1,18; 27487; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
15; 2026.02.06_14:35:53; JEDI.DE; 65,70; 75,06; 79,16; 48,38; -12,47; 1,36; 62581; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_14:44:05; VWCE.DE; 146,80; 150,38; 05,65; 137,98; -02,38; 1,06; 257129; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_14:43:46; SXRV.DE; 1201,60; 1301,60; 00,69; 1164,65; -07,68; 1,03; 12222; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_14:04:37; AMEE.DE; 680,50; 696,50; 49,24; 541,01; -02,30; 1,26; 297; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_14:43:12; LSMC.DE; 75,07; 79,58; 37,39; 61,80; -05,67; 1,21; 17507; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_14:44:04; DFEN.DE; 57,25; 64,51; 51,20; 51,36; -11,25; 1,11; 132219; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_14:37:46; WTIF.DE; 50,92; 50,97; 46,00; 40,46; -00,10; 1,26; 3518; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_14:43:48; EUDF.DE; 32,60; 36,03; 28,18; 30,72; -09,53; 1,06; 532984; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_14:39:47; LYBK.DE; 334,30; 349,15; 69,00; 278,41; -04,25; 1,20; 24756; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_14:43:08; IBCJ.DE; 29,87; 30,70; 41,81; 25,67; -02,70; 1,16; 43439; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.06_14:37:46; SXR2.DE; 239,65; 246,50; 16,02; 217,84; -02,78; 1,10; 959; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.06_14:43:11; CEMR.DE; 15,26; 15,82; 21,12; 13,83; -03,54; 1,10; 62052; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.06_14:39:28; XB4A.DE; 115,44; 117,42; 50,68; 97,05; -01,69; 1,19; 1756; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.06_14:43:19; XESP.DE; 56,92; 58,23; 45,96; 48,25; -02,25; 1,18; 28144; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
15; 2026.02.06_14:39:06; JEDI.DE; 65,78; 75,06; 79,16; 48,38; -12,36; 1,36; 62602; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_14:51:04; VWCE.DE; 146,70; 150,38; 05,65; 137,98; -02,45; 1,06; 257281; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_14:51:05; SXRV.DE; 1200,00; 1301,60; 00,69; 1164,65; -07,81; 1,03; 12387; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_14:04:37; AMEE.DE; 680,50; 696,50; 49,24; 541,01; -02,30; 1,26; 297; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_14:43:12; LSMC.DE; 75,07; 79,58; 37,39; 61,80; -05,67; 1,21; 17507; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_14:50:20; DFEN.DE; 57,27; 64,51; 51,20; 51,36; -11,22; 1,12; 132657; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_14:37:46; WTIF.DE; 50,92; 50,97; 46,00; 40,46; -00,10; 1,26; 3518; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_14:48:52; EUDF.DE; 32,63; 36,03; 28,18; 30,72; -09,45; 1,06; 539238; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_14:48:04; LYBK.DE; 333,50; 349,15; 69,00; 278,41; -04,48; 1,20; 25011; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_14:48:51; IBCJ.DE; 29,87; 30,70; 41,81; 25,67; -02,70; 1,16; 43788; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.06_14:37:46; SXR2.DE; 239,65; 246,50; 16,02; 217,84; -02,78; 1,10; 959; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.06_14:43:11; CEMR.DE; 15,26; 15,82; 21,12; 13,83; -03,54; 1,10; 62052; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.06_14:48:11; XB4A.DE; 115,34; 117,42; 50,68; 97,05; -01,77; 1,19; 1783; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.06_14:47:45; XESP.DE; 56,88; 58,23; 45,96; 48,25; -02,32; 1,18; 28148; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
15; 2026.02.06_14:51:05; JEDI.DE; 65,79; 75,06; 79,16; 48,38; -12,35; 1,36; 63232; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_14:58:00; VWCE.DE; 146,78; 150,38; 05,65; 137,98; -02,39; 1,06; 258569; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_14:56:53; SXRV.DE; 1199,80; 1301,60; 00,69; 1164,65; -07,82; 1,03; 12580; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_14:04:37; AMEE.DE; 680,50; 696,50; 49,24; 541,01; -02,30; 1,26; 297; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_14:55:10; LSMC.DE; 74,93; 79,58; 37,39; 61,80; -05,84; 1,21; 18157; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_14:57:57; DFEN.DE; 57,27; 64,51; 51,20; 51,36; -11,22; 1,12; 133614; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_14:55:08; WTIF.DE; 50,96; 50,97; 46,00; 40,46; -00,02; 1,26; 3526; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_14:57:44; EUDF.DE; 32,64; 36,03; 28,18; 30,72; -09,42; 1,06; 551505; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_14:55:28; LYBK.DE; 333,60; 349,15; 69,00; 278,41; -04,45; 1,20; 25087; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_14:57:31; IBCJ.DE; 29,88; 30,70; 41,81; 25,67; -02,67; 1,16; 43790; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.06_14:37:46; SXR2.DE; 239,65; 246,50; 16,02; 217,84; -02,78; 1,10; 959; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.06_14:57:34; CEMR.DE; 15,26; 15,82; 21,12; 13,83; -03,50; 1,10; 62270; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.06_14:56:32; XB4A.DE; 115,40; 117,42; 50,68; 97,05; -01,72; 1,19; 1851; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.06_14:54:46; XESP.DE; 56,90; 58,23; 45,96; 48,25; -02,28; 1,18; 30036; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
15; 2026.02.06_14:57:59; JEDI.DE; 65,72; 75,06; 79,16; 48,38; -12,44; 1,36; 77701; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_15:04:38; VWCE.DE; 146,70; 150,38; 05,65; 137,98; -02,45; 1,06; 259819; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_15:03:36; SXRV.DE; 1199,40; 1301,60; 00,69; 1164,65; -07,85; 1,03; 12878; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_15:01:28; AMEE.DE; 681,60; 696,50; 49,24; 541,01; -02,14; 1,26; 298; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_15:03:39; LSMC.DE; 74,79; 79,58; 37,39; 61,80; -06,02; 1,21; 18160; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_15:04:36; DFEN.DE; 57,12; 64,51; 51,20; 51,36; -11,46; 1,11; 139392; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_14:55:08; WTIF.DE; 50,96; 50,97; 46,00; 40,46; -00,02; 1,26; 3526; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_15:04:45; EUDF.DE; 32,48; 36,03; 28,18; 30,72; -09,85; 1,06; 561305; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_15:03:30; LYBK.DE; 333,80; 349,15; 69,00; 278,41; -04,40; 1,20; 25121; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_15:04:17; IBCJ.DE; 29,89; 30,70; 41,81; 25,67; -02,65; 1,16; 45790; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.06_15:02:14; SXR2.DE; 239,50; 246,50; 16,02; 217,84; -02,84; 1,10; 1239; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.06_14:58:15; CEMR.DE; 15,26; 15,82; 21,12; 13,83; -03,53; 1,10; 62470; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.06_14:58:15; XB4A.DE; 115,38; 117,42; 50,68; 97,05; -01,74; 1,19; 1881; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.06_14:58:59; XESP.DE; 56,93; 58,23; 45,96; 48,25; -02,23; 1,18; 30236; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
15; 2026.02.06_15:03:01; JEDI.DE; 65,75; 75,06; 79,16; 48,38; -12,40; 1,36; 77799; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_15:10:14; VWCE.DE; 146,72; 150,38; 05,65; 137,98; -02,43; 1,06; 260117; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_15:11:29; SXRV.DE; 1199,80; 1301,60; 00,69; 1164,65; -07,82; 1,03; 12970; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_15:01:28; AMEE.DE; 681,60; 696,50; 49,24; 541,01; -02,14; 1,26; 298; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_15:05:40; LSMC.DE; 74,70; 79,58; 37,39; 61,80; -06,13; 1,21; 18356; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_15:10:44; DFEN.DE; 57,24; 64,51; 51,20; 51,36; -11,27; 1,11; 142515; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_14:55:08; WTIF.DE; 50,96; 50,97; 46,00; 40,46; -00,02; 1,26; 3526; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_15:11:30; EUDF.DE; 32,53; 36,03; 28,18; 30,72; -09,71; 1,06; 576917; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_15:08:58; LYBK.DE; 333,75; 349,15; 69,00; 278,41; -04,41; 1,20; 25158; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_15:07:59; IBCJ.DE; 29,89; 30,70; 41,81; 25,67; -02,64; 1,16; 45791; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.06_15:11:02; SXR2.DE; 239,40; 246,50; 16,02; 217,84; -02,88; 1,10; 1267; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.06_14:58:15; CEMR.DE; 15,26; 15,82; 21,12; 13,83; -03,53; 1,10; 62470; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.06_15:08:26; XB4A.DE; 115,46; 117,42; 50,68; 97,05; -01,67; 1,19; 1914; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.06_14:58:59; XESP.DE; 56,93; 58,23; 45,96; 48,25; -02,23; 1,18; 30236; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
15; 2026.02.06_15:11:16; JEDI.DE; 65,78; 75,06; 79,16; 48,38; -12,36; 1,36; 77866; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_15:18:18; VWCE.DE; 146,80; 150,38; 05,65; 137,98; -02,38; 1,06; 260922; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_15:14:24; SXRV.DE; 1199,20; 1301,60; 00,69; 1164,65; -07,87; 1,03; 13084; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_15:01:28; AMEE.DE; 681,60; 696,50; 49,24; 541,01; -02,14; 1,26; 298; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_15:17:46; LSMC.DE; 74,76; 79,58; 37,39; 61,80; -06,06; 1,21; 18359; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_15:18:17; DFEN.DE; 57,20; 64,51; 51,20; 51,36; -11,33; 1,11; 144356; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_14:55:08; WTIF.DE; 50,96; 50,97; 46,00; 40,46; -00,02; 1,26; 3526; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_15:18:12; EUDF.DE; 32,55; 36,03; 28,18; 30,72; -09,67; 1,06; 590716; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_15:18:28; LYBK.DE; 333,95; 349,15; 69,00; 278,41; -04,35; 1,20; 25232; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_15:16:29; SXR2.DE; 239,35; 246,50; 16,02; 217,84; -02,90; 1,10; 1544; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
10; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
11; 2026.02.06_14:58:15; CEMR.DE; 15,26; 15,82; 21,12; 13,83; -03,53; 1,10; 62470; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
12; 2026.02.06_15:08:26; XB4A.DE; 115,46; 117,42; 50,68; 97,05; -01,67; 1,19; 1914; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
13; 2026.02.06_14:58:59; XESP.DE; 56,93; 58,23; 45,96; 48,25; -02,23; 1,18; 30236; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
14; 2026.02.06_15:18:30; JEDI.DE; 65,91; 75,06; 79,16; 48,38; -12,19; 1,36; 78738; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_15:25:07; VWCE.DE; 146,76; 150,38; 05,65; 137,98; -02,41; 1,06; 261964; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_15:25:01; SXRV.DE; 1199,00; 1301,60; 00,69; 1164,65; -07,88; 1,03; 13350; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_15:22:09; AMEE.DE; 682,00; 696,50; 49,24; 541,01; -02,08; 1,26; 299; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_15:18:46; LSMC.DE; 74,80; 79,58; 37,39; 61,80; -06,01; 1,21; 18373; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_15:24:07; DFEN.DE; 57,20; 64,51; 51,20; 51,36; -11,33; 1,11; 145021; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_15:21:29; WTIF.DE; 50,92; 50,97; 46,00; 40,46; -00,10; 1,26; 3768; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_15:25:01; EUDF.DE; 32,55; 36,03; 28,18; 30,72; -09,66; 1,06; 600794; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_15:23:13; LYBK.DE; 334,10; 349,15; 69,00; 278,41; -04,31; 1,20; 25234; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_15:21:37; IBCJ.DE; 29,89; 30,70; 41,81; 25,67; -02,64; 1,16; 45796; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.06_15:16:29; SXR2.DE; 239,35; 246,50; 16,02; 217,84; -02,90; 1,10; 1544; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.06_15:20:41; CEMR.DE; 15,28; 15,82; 21,12; 13,83; -03,43; 1,10; 64630; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.06_15:08:26; XB4A.DE; 115,46; 117,42; 50,68; 97,05; -01,67; 1,19; 1914; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.06_15:24:43; XESP.DE; 56,94; 58,23; 45,96; 48,25; -02,22; 1,18; 30436; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
15; 2026.02.06_15:25:14; JEDI.DE; 65,81; 75,06; 79,16; 48,38; -12,32; 1,36; 80107; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_15:31:55; VWCE.DE; 146,86; 150,38; 05,65; 137,98; -02,34; 1,06; 262423; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_15:32:09; SXRV.DE; 1195,00; 1301,60; 00,69; 1164,65; -08,19; 1,03; 13573; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_15:27:21; AMEE.DE; 681,20; 696,50; 49,24; 541,01; -02,20; 1,26; 440; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_15:27:20; LSMC.DE; 74,69; 79,58; 37,39; 61,80; -06,14; 1,21; 18513; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_15:32:02; DFEN.DE; 57,31; 64,51; 51,20; 51,36; -11,16; 1,12; 147886; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_15:21:29; WTIF.DE; 50,92; 50,97; 46,00; 40,46; -00,10; 1,26; 3768; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_15:32:03; EUDF.DE; 32,59; 36,03; 28,18; 30,72; -09,56; 1,06; 611942; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_15:23:13; LYBK.DE; 334,10; 349,15; 69,00; 278,41; -04,31; 1,20; 25234; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_15:31:25; IBCJ.DE; 29,90; 30,70; 41,81; 25,67; -02,61; 1,16; 48266; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.06_15:32:01; SXR2.DE; 239,85; 246,50; 16,02; 217,84; -02,70; 1,10; 2008; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
12; 2026.02.06_15:28:30; CEMR.DE; 15,26; 15,82; 21,12; 13,83; -03,51; 1,10; 64895; iShsIV-Edge MSCI Eu.Mo.F.U.ETFR; iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
13; 2026.02.06_15:08:26; XB4A.DE; 115,46; 117,42; 50,68; 97,05; -01,67; 1,19; 1914; Xtrackers ATX                 I; Xtrackers ATX UCITS ETF 1C
14; 2026.02.06_15:24:43; XESP.DE; 56,94; 58,23; 45,96; 48,25; -02,22; 1,18; 30436; Xtrackers Spain               I; Xtrackers Spain UCITS ETF 1C
15; 2026.02.06_15:31:09; JEDI.DE; 66,19; 75,06; 79,16; 48,38; -11,82; 1,37; 81119; VanECK Space UCITS ETF        R; VanEck Space Innovators UCITS ETF
01; 2026.02.06_15:38:55; VWCE.DE; 147,20; 150,38; 05,65; 137,98; -02,11; 1,07; 269233; Vanguard FTSE All-World U.ETF R; Vanguard FTSE All-World UCITS ETF USD Accumulation
02; 2026.02.06_15:38:24; SXRV.DE; 1203,80; 1301,60; 00,69; 1164,65; -07,51; 1,03; 14799; iShsVII-NASDAQ 100 UCITS ETF  R; iShares NASDAQ 100 UCITS ETF USD (Acc)
03; 2026.02.06_15:35:41; AMEE.DE; 680,70; 696,50; 49,24; 541,01; -02,27; 1,26; 521; Amundi Glbl Hydrogen UCITS ETFA; Amundi Global Hydrogen UCITS ETF - Acc
04; 2026.02.06_15:38:00; LSMC.DE; 75,15; 79,58; 37,39; 61,80; -05,57; 1,22; 21213; MUL-Am.MSCI Semiconductor UE  N; Amundi MSCI Semiconductors ESG Screened UCITS ETF
05; 2026.02.06_15:38:59; DFEN.DE; 57,51; 64,51; 51,20; 51,36; -10,85; 1,12; 161949; VanEck ETFs-VanEck Defense ETFR; VanEck Defense ETF A USD Acc
06; 2026.02.06_15:34:38; WTIF.DE; 51,05; 51,05; 46,00; 40,46; 00,00; 1,26; 3786; WisdomTree Japan Equity UC.ETFR; WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
07; 2026.02.06_15:38:00; EUDF.DE; 32,53; 36,03; 28,18; 30,72; -09,73; 1,06; 625116; WisdomTree-Eur.Defence ETF    R; WisdomTree Europe Defence UCITS ETF - EUR Acc
08; 2026.02.06_15:37:39; LYBK.DE; 335,45; 349,15; 69,00; 278,41; -03,92; 1,20; 26184; MUL Amundi Euro Stoxx Banks   U; Amundi Euro Stoxx Banks UCITS ETF Acc
09; 2026.02.06_15:36:58; IBCJ.DE; 29,93; 30,70; 41,81; 25,67; -02,51; 1,17; 58906; iShsV-MSCI Poland UCITS ETF   R; iShares V PLC - iShares MSCI Poland UCITS ETF
10; 2026.02.06_15:35:03; SXR2.DE; 240,30; 246,50; 16,02; 217,84; -02,52; 1,10; 2668; iShs VII-MSCI EM Canada U.ETF R; iShares VII PLC - iShares MSCI Canada ETF USD Acc
11; 2026.02.06_14:37:15; UFMB.DE; 21,16; 21,43; 20,95; 19,17; -01,26; 1,10; 7200; UBS(L)FS-MSCI UK UCITS ETF    N; UBS MSCI United Kingdom UCITS ETF hEUR acc
